locus_tag	baseMean	log2FoldChange	lfcSE	pvalue	padj
SAUSA300_RS01305	12.1914325855375	0.86505627487473	0.526218660978509	0.051167577325428	0.134132508505006
srn_1080_RsaX05	69.8929371885514	0.26125368009026	0.225719775275719	0.233139445769958	0.429247073496346
SAUSA300_RS00495	14.3649222412732	0.0556419514255049	0.429570737205156	0.885211281341405	0.938359155489538
SAUSA300_RS14030	230.46676284794	-0.512732776436423	0.153353383758393	0.000689785765767955	0.0030598483386645
SAUSA300_RS01475	21.9258730120683	0.232588420432412	0.37304799614523	0.49586760505696	0.690691240899611
SAUSA300_RS00505	264.419399151345	0.485466646345479	0.164165156933676	0.00264399311248344	0.0102157762867839
SAUSA300_RS00485	17.7910664799076	-0.208742277746202	0.41824217594548	0.57595188342508	0.755023975086422
SAUSA300_RS03530	282.552263446714	0.143081325127496	0.1423733900054	0.309947096717744	0.521055948485097
SAUSA300_RS01450	113.726124345825	-0.152191024010725	0.193574581365442	0.420876782681821	0.637532671948713
SAUSA300_RS05990	382.999575579528	2.29011254585149	0.173348484226486	1.35271477406001e-40	7.51320330759165e-39
SAUSA300_RS06395	233.748447000888	0.442446668419231	0.168784079044964	0.00758799331316359	0.0260355085880233
srn_0080_Teg107	5.38357304015729	-0.257090761500642	0.617167032593834	0.580742545129784	0.757335863013412
SAUSA300_RS02460	92.5492407857367	0.177303416599636	0.202371672594598	0.369741183183094	0.585698154703581
SAUSA300_RS01345	2146.4801664292	0.0239670885232063	0.096031503901823	0.803617569310673	0.891712479231376
SAUSA300_RS08580	386.490739191695	-0.135478416436223	0.126328260281276	0.278500285770748	0.488153689588964
SAUSA300_RS14550	13.4699778095648	0.854724466229292	0.566930324666841	0.0664228886591335	0.165189758549673
SAUSA300_RS02285	2075.99302995021	-0.304360416588518	0.13026182611297	0.0181362551626789	0.0553851732688453
SAUSA300_RS14340	1087.2528682128	1.15744551341277	0.108132537543118	4.37774073863048e-27	1.49628933451139e-25
SAUSA300_RS01840	54.0165287503452	-0.0770510949518832	0.278150038342892	0.770273058108198	0.878361380105134
SAUSA300_RS14240	105.345261556769	0.154884438899428	0.193202388309164	0.413288310126015	0.632506678987345
SAUSA300_RS07460	3.36871218139344	0.0529750197100878	0.69395349764659	0.909514693653348	0.950888695403853
SAUSA300_RS01085	63.1314553445637	0.354219338696346	0.248479898443459	0.139335826728232	0.295840582845527
SAUSA300_RS04670	2782.51689336972	0.429196974690264	0.11192401691949	0.00011160056326948	0.000589162577577097
SAUSA300_RS15165	3.00757648291816	0.632458041227079	0.821774484021281	0.220285296894491	0.412035023445052
SAUSA300_RS10810	122.497417943225	-8.90825068182717	1.2930488407461	1.05555194833729e-14	1.80391121427386e-13
SAUSA300_RS06025	1145.49388917746	-0.131315254188182	0.112922129108914	0.240725954572414	0.439278653713068
SAUSA300_RS10815	54.6442875737228	-9.94931067664663	2.92523985459866	6.1634060520436e-14	9.72286422174452e-13
SAUSA300_RS01385	121.563709302575	2.46028174970296	0.210226699419042	2.2838701948032e-32	1.0319996507365e-30
SAUSA300_RS01465	242.511227775332	0.871509348551064	0.164967377884383	7.52749546621761e-08	6.2518077610393e-07
SAUSA300_RS01350	200.387044748215	-1.21747675642673	0.175002644819689	1.45687437215542e-12	2.03352202940647e-11
SAUSA300_RS00585	40942.4111726622	-0.412776156710425	0.127703343277175	0.0010510444862796	0.00450495916466467
SAUSA300_RS05055	7.34119783407666	-0.562100977888682	0.594153428576879	0.23132914913271	0.426208370136699
